# Ziegler 1977 proton electronic stopping coefficients, Z=1..92, 5 per element -- G4BraggModel::ElectronicStoppingPower
# extracted by tools/g4extract from the Geant4 11.1.1 source
a 92 5
11.869999999999999 13.43 10690 772.29999999999995 0.021530000000000001
7.8019999999999996 8.8140000000000001 8303 744.60000000000002 0.0079660000000000009
7.2939999999999996 8.2840000000000007 5010 454.39999999999998 0.0081530000000000005
8.6460000000000008 9.8000000000000007 7066 458.10000000000002 0.0093830000000000007
12.859999999999999 14.619999999999999 5625 2621 0.035119999999999998
32.289999999999999 36.960000000000001 8918 3244 0.1273
16.039999999999999 18.25 6967 2307 0.037749999999999999
8.0489999999999995 9.0990000000000002 9257 384.60000000000002 0.010070000000000001
4.0149999999999997 4.5419999999999998 3955 484.69999999999999 0.0079039999999999996
4.5709999999999997 5.173 4346 477.89999999999998 0.0085719999999999998
2.6309999999999998 2.601 1701 1279 0.016379999999999999
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
